ID,Frequency,Dutch,Eng
1168,15444,verrassing,surprise
1169,15409,vreemde,stranger
1170,15404,sla,salad
1171,15380,geschiedenis,history
1172,15369,erachter,behind
1173,15357,lul,dick
1174,15331,bezorgd,Worried
1175,15286,hoogte,height
1176,15234,vrede,peace
1177,15188,meegenomen,brought
1178,15186,zagen,saws
1179,15176,liegt,lying
1180,15160,bus,bus
1181,15128,belachelijk,ridiculous
1182,15123,betere,better
1183,15119,raam,windown
1184,15098,wijn,wine
1185,15056,mes,knife
1186,15049,ontslagen,laid off
1187,15037,geheime,secret
1188,14987,gehouden,held
1189,14979,weggaan,leave away
1190,14956,weekend,weekend
1191,14953,eh,eh
1192,14937,excuses,excuses
1193,14905,getuigen,to give evidence
1194,14881,jim,Jim
1195,14877,bom,bomb
1196,14873,inspecteur,inspector
1197,14872,gehaald,fetched
1198,14858,spoor,track
1199,14812,held,hero
1200,14797,benen,legs
1201,14794,dachten,thought
1202,14794,waarvan,of which
1203,14788,tas,bag
1204,14778,thee,tea
1205,14761,ray,ray
1206,14761,jane,Jane
1207,14760,overleven,to survive
1208,14759,belt,call
1209,14753,meenemen,take
1210,14751,nek,neck
1211,14693,gevecht,battle
1212,14684,bestaan,to exist
1213,14676,ongelooflijk,incredible
1214,14648,slachtoffers,victims
1215,14646,drink,drink
1216,14638,ring,ring
1217,14610,donker,dark
1218,14607,links,left
1219,14596,dichtbij,close to
1220,14586,bereid,prepared
1221,14575,feit,fact
1222,14536,vriendje,boyfriend
1223,14494,professor,professor
1224,14491,verschil,difference
1225,14472,collega,colleague
1226,14466,spul,stuff
1227,14448,boeken,books
1228,14441,slaat,hit
1229,14435,will,will
1230,14429,alweer,weather
1231,14415,rekening,account
1232,14409,gooi,throw
1233,14390,beslissing,decision
1234,14383,verlies,loss
1235,14381,been,leg
1236,14381,verjaardag,birthday
1237,14378,lift,elevator
1238,14365,tommy,Tommy
1239,14361,bob,bob
1240,14348,koningin,Queen
1241,14324,teveel,too many
1242,14323,levend,living
1243,14306,waarmee,by which
1244,14286,raakt,touch
1245,14273,draagt,wears
1246,14261,verandert,changes
1247,14257,trein,train
1248,14253,da,Da
1249,14236,monster,sample
1250,14221,raakte,hit
1251,14210,sporen,tracks
1252,14207,opa,grandpa
1253,14205,zingen,to sing
1254,14166,voeten,feet
1255,14162,lot,lot
1256,14146,richting,direction
1257,14125,knap,good looking
1258,14101,duren,to last
1259,14099,speciaal,special
1260,14085,gebruikte,used
1261,14073,gestopt,stopped
1262,14054,hoge,high
1263,14050,gesloten,Closed
1264,14049,boord,board
1265,14049,bedoelde,meant
1266,13989,gepakt,crazy
1267,13969,you,you
1268,13933,draai,play
1269,13933,vannacht,tonight
1270,13920,ijs,ice
1271,13907,enorme,huge
1272,13906,reed,drove
1273,13888,beurt,turn
1274,13888,koop,buy
1275,13873,appartement,apartment
1276,13855,cel,cell
1277,13848,d,D
1278,13845,begraven,to bury
1279,13830,indruk,impression
1280,13793,vlees,meat
1281,13791,strijd,conflict
1282,13782,ochtend,morning
1283,13747,keuken,kitchen
1284,13730,energie,energy
1285,13722,vernietigen,destroy
1286,13715,geregeld,regularly
1287,13690,plaatsen,place
1288,13687,gevoelens,feelings
1289,13683,last,charge
1290,13673,la,la
1291,13665,bedanken,to thank
1292,13661,ophouden,to hold up
1293,13656,hangen,to hang
1294,13650,kennis,knowledge
1295,13647,bill,Bill
1296,13606,patiënt,patient
1297,13585,zware,heavy
1298,13578,basis,base
1299,13563,kat,cat
1300,13552,glas,glass
1301,13539,sloeg,stroke
1302,13538,dankzij,thanks to
1303,13536,dader,perpetrator
1304,13512,gasten,visitors
1305,13488,zwart,black
1306,13481,betaal,pay
1307,13475,adem,breath
1308,13464,richard,Richard
1309,13388,boodschap,errand
1310,13386,grap,joke
1311,13383,bos,bunch
1312,13348,geholpen,assisted
1313,13339,godsnaam,God sake
1314,13330,prachtige,gorgeous
1315,13318,neergeschoten,shot
1316,13314,werkelijk,actually
1317,13296,gestorven,died
1318,13282,huilen,to cry
1319,13272,commandant,commander
1320,13266,billy,Billy
1321,13263,soldaten,soldiers
1322,13262,jake,jaked
1323,13232,jurk,dress
1324,13230,gevangen,caught
1325,13208,veiligheid,safety
1326,13198,hoek,corner
1327,13178,hiermee,with this
1328,13177,afstand,distance
1329,13172,kilometer,kilometer
1330,13170,regering,government
1331,13168,stoel,chair
1332,13160,onschuldig,innocent
1333,13153,kogel,ball
1334,13146,londen,London
1335,13140,vlak,right
1336,13135,stuurde,controlled
1337,13134,fijne,nice
1338,13129,waarin,in which
1339,13126,voet,foot
1340,13125,haalt,fetches
1341,13114,ontsnappen,escape
1342,13109,gooien,throw
1343,13107,rechts,right
1344,13102,ineens,suddenly
1345,13089,ouwe,old
1346,13088,test,test
1347,13076,toestemming,permission
1348,13075,wraak,revenge
1349,13067,breken,break
1350,13061,rol,role
1351,13050,opschieten,Hurry up
1352,13022,kalm,calm
1353,13016,goud,gold
1354,13015,verantwoordelijk,responsible
1355,13010,enorm,enormous
1356,13009,bespreken,discuss
1357,13008,noemt,mentions
1358,13008,verdorie,damn
1359,13006,ervaring,experience
1360,13004,soldaat,soldier
1361,13003,gepraat,talk
1362,12989,steve,steve
1363,12977,mark,Mark
1364,12959,totaal,total
1365,12942,and,and
1366,12925,gratis,for free
1367,12921,overleden,passed away
1368,12902,moorden,murderous
1369,12837,eiland,Island
1370,12826,beeld,image
1371,12822,passen,to suit
1372,12821,leeftijd,age
1373,12821,noemde,mentioned
1374,12795,tekenen,draw
1375,12795,doorgaan,Get on
1376,12793,boom,tree
1377,12781,uitzoeken,investigate
1378,12758,dak,roof
1379,12753,besloten,private
1380,12721,lunch,lunch
1381,12707,ryan,Ryan
1382,12704,vele,many
1383,12698,schoon,clean
1384,12694,controleren,check
1385,12690,gearresteerd,arrested
1386,12687,schoot,shot
1387,12684,eraf,off
1388,12672,achteruit,backwards
1389,12668,johnny,Johnny
1390,12666,belangrijke,important
1391,12665,lees,read
1392,12664,perfecte,Perfect
1393,12652,dorp,village
1394,12648,eikel,jerk
1395,12640,bobby,Bobby
1396,12624,dossier,dossier
1397,12613,past,suits
1398,12609,code,code
1399,12607,vieren,to celebrate
1400,12596,geluid,sound
1401,12552,homo,homo
1402,12547,verschrikkelijk,terrible
1403,12546,stelt,stilt
1404,12545,slaapt,sleeps
1405,12522,bier,beer
1406,12521,dna,DNA
1407,12478,hoelang,how long
1408,12477,eenmaal,once
1409,12470,simpel,easy
1410,12466,zocht,searched
1411,12465,blauwe,blue
1412,12436,stukje,piece
1413,12435,vermist,missing
1414,12429,zorgt,ensure
1415,12410,gat,hole
1416,12410,ouder,parent
1417,12405,kate,kate
1418,12400,schrijf,write
1419,12398,schreef,wrote
1420,12397,wens,wish
1421,12397,geslagen,beaten
1422,12394,parijs,Paris
1423,12377,toevallig,by chance
1424,12359,leiding,pipe
1425,12356,edelachtbare,noble
1426,12347,bouwen,to build
1427,12329,geweten,known
1428,12320,heilige,saint
1429,12303,restaurant,restaurant
1430,12296,sterft,die
1431,12292,toegang,access
1432,12280,verbergen,hide
1433,12278,draait,turn
1434,12262,leidt,lead
1435,12255,armen,poor
1436,12254,luke,luke
1437,12244,taak,task
1438,12221,ware,true
1439,12191,lab,lab
1440,12189,misdaad,crime
1441,12173,nadenken,think it over
1442,12172,vakantie,holidays
1443,12165,behoorlijk,fairly
1444,12150,sleutels,Keys
1445,12131,video,video
1446,12121,levens,lives
1447,12104,geniet,enjoy
1448,12088,draaien,to spin
1449,12082,vertrek,departure
1450,12051,betreft,Re
1451,12044,eric,Eric
1452,12032,slot,key lock
1453,12018,ms,ms
1454,12014,verpest,ruined
1455,12012,proces,process
1456,12009,opdracht,assignment
1457,12007,programma,program
1458,11994,klote,crazy
1459,11986,leider,leader
1460,11974,actie,action
1461,11962,waardoor,Causing
1462,11961,antwoorden,answers
1463,11950,gezeten,seated
1464,11933,bruiloft,wedding
1465,11902,vorm,form
1466,11896,woon,live
1467,11881,directeur,director
1468,11811,cliënt,client
1469,11797,goedenavond,Good evening
1470,11797,advies,advice
1471,11793,hoewel,although
1472,11790,eddie,Eddie
1473,11763,chris,Chris
1474,11757,uren,hours
1475,11756,welterusten,Good night
1476,11749,tijden,times
1477,11743,volwassen,grown up
1478,11739,vuile,dirty
1479,11718,majoor,majoor
1480,11705,radio,radio
1481,11704,aangenaam,nice to meet you
1482,11688,drankje,drink
1483,11687,maan,Moon
1484,11668,kregen,got
1485,11666,gemakkelijk,easy
1486,11664,vergeef,forgive
1487,11655,klas,class
1488,11649,krant,newspaper
1489,11641,langzaam,slowly
1490,11641,kosten,cost
1491,11630,martin,Martin
1492,11617,procent,per cent
1493,11610,mist,fog
1494,11602,pad,path
1495,11593,vrijheid,freedom
1496,11590,verdwijnen,to disappear
1497,11578,gelogen,lied
1498,11561,beweging,movement
1499,11555,twijfel,doubt
1500,11541,neef,nephew
1501,11511,gemeen,mean
1502,11498,fles,bottle
1503,11497,dol,dolly
1504,11491,draag,carry
1505,11485,vis,fish
1506,11484,waarover,about what
1507,11477,rood,red
1508,11459,hersenen,brain
1509,11458,der,derelict
1510,11449,verloor,loss
1511,11440,taxi,cab
1512,11440,voorkomen,appearance
1513,11433,medicijnen,medicines
1514,11414,okay,Okay
1515,11407,binnenkort,soon
1516,11406,doos,box
1517,11403,terecht,justly
1518,11395,mening,opinion
1519,11387,geweer,rifle
1520,11370,bezit,possess
1521,11364,top,top
1522,11343,wonder,miracle
1523,11321,vergeven,to forgive
1524,11309,stopt,stops
1525,11276,hopen,to hope
1526,11269,thomas,Thomas
1527,11268,ophalen,to pick up
1528,11267,wind,wind
1529,11265,oplossen,dissolve
1530,11264,jaloers,jealous
1531,11259,kevin,Kevin
1532,11259,rachel,rachel
1533,11237,onmiddellijk,immediately
1534,11226,gedrag,behaviour
1535,11225,charles,Charles
1536,11212,stemmen,vote
1537,11199,ontbijt,breakfast
1538,11182,lol,LOL
1539,11179,walter,Walter
1540,11163,honden,dogs
1541,11162,ontvangen,receive
1542,11157,verhalen,stories
1543,11155,rivier,river
1544,11155,twaalf,twelve
1545,11152,voedsel,food
1546,11151,gauw,soon
1547,11145,volgt,follow
1548,11139,vaker,more often
1549,11133,adam,Adam
1550,11126,keren,turn
1551,11115,klanten,customers
1552,11114,chef,chef
1553,11108,wint,wins
1554,11108,brian,Brian
1555,11108,minuut,minute
1556,11096,anna,anna
1557,11095,detective,detective
1558,11091,verraden,betray
1559,11075,don,don
1560,11059,geweld,violence
1561,11046,akkoord,agreement
1562,11039,tonen,to show
1563,11032,genoemd,called
1564,11032,gewone,ordinary
1565,11022,papieren,paper
1566,11011,verband,bandage
1567,11005,hoopte,hopeful
1568,11003,rare,rare
1569,10998,brug,bridge
1570,10995,jas,jacket
1571,10994,bloemen,flowers
1572,10992,daniel,Daniel
1573,10991,trap,staircase
1574,10988,mijnheer,Sir
1575,10983,aanvallen,to attack
1576,10974,leer,leather
1577,10973,street,street
1578,10973,opnemen,record
1579,10971,robert,Robert
1580,10968,schade,injury
1581,10943,blijkt,turns out
1582,10924,bijzonder,particularly
1583,10908,huid,skin
1584,10899,krachten,forces
1585,10887,zakken,to fail
1586,10886,openen,to open
1587,10860,arts,doctor
1588,10847,hoer,whore
1589,10843,gestoord,disturbed
1590,10828,scott,scott
1591,10810,gegeten,ate
1592,10810,echtgenoot,husband
1593,10797,bedoeling,intention
1594,10793,durf,dare
1595,10787,trouw,Fidelity
1596,10786,bedenken,come up with
1597,10780,ergste,worst
1598,10779,bedacht,suspicious
1599,10760,tegenhouden,to prevent
1600,10758,vermoordde,murdered
1601,10756,nachts,at night
1602,10748,vertrokken,left
1603,10737,knul,knock
1604,10721,engels,English
1605,10711,start,Start
1606,10710,favoriete,favourite
1607,10709,persoonlijke,personal
1608,10688,bepaalde,particular
1609,10681,sommigen,some
1610,10679,yeah,Yeah
1611,10670,momentje,just hold on
1612,10658,medische,medical
1613,10644,sexy,sexy
1614,10640,burgemeester,mayor
1615,10638,lee,lee
1616,10624,officier,officer
1617,10594,kussen,To kiss
1618,10579,date,date
1619,10577,ster,star
1620,10564,gezocht,sought
1621,10554,captain,captain
1622,10549,wezen,being
1623,10535,roep,call
1624,10531,details,details
1625,10498,zomer,summer
1626,10496,dikke,thick
1627,10495,ruikt,smell
1628,10493,eigenaar,owner
1629,10491,motor,motor
1630,10490,universiteit,University
1631,10488,hielp,heel
1632,10478,kus,kiss
1633,10475,luistert,listen
1634,10472,gegevens,data
1635,10471,claire,claire
1636,10458,beveiliging,security
1637,10457,nagedacht,thought
1638,10455,lisa,Lisa
1639,10453,gekozen,chosen
1640,10444,betaalt,pay
1641,10435,betekenen,mean
1642,10430,verborgen,hidden
1643,10413,publiek,public
1644,10408,carrière,career
1645,10394,tanden,teeth
1646,10386,amy,amy
1647,10384,rapport,report
1648,10321,super,super
1649,10319,vrije,free
1650,10305,geheimen,secrets
1651,10303,opeens,suddenly
1652,10293,beest,beast
1653,10293,afgesproken,agreed to meet
1654,10286,halve,half
1655,10280,rijdt,run
1656,10254,belangrijkste,main
1657,10229,kamp,camp
1658,10218,leef,live
1659,10209,washington,Washington
1660,10203,steun,support
1661,10191,afdeling,section
1662,10188,honderd,hundred
1663,10166,vorig,last
1664,10164,rook,smoke
1665,10160,boel,boot
1666,10159,vecht,fighting
1667,10139,strand,beach
1668,10134,jason,jason
1669,10125,magie,magic
1670,10113,oplossing,solution
1671,10088,type,type
1672,10084,rusten,rest
1673,10073,droeg,wore
1674,10071,wellicht,perhaps
1675,10067,beelden,images
1676,10052,genaamd,named
1677,10051,terugkomen,return
1678,10043,voeren,feed
1679,10042,waardeer,appreciate
1680,10026,nauwelijks,hardly
1681,10025,bad,bathe
1682,10014,bieden,offer
1683,10007,geïnteresseerd,interested
1684,10001,verlaat,leaving
1685,9993,duivel,devil
1686,9961,overkomen,come across
1687,9958,speelde,played
1688,9919,pond,lb
1689,9908,ballen,balls
1690,9908,duizenden,thousands of thousands
1691,9906,gedoe,hassle
1692,9905,city,City
1693,9900,nerveus,nervous
1694,9870,locatie,Location
1695,9863,blik,look
1696,9861,doelwit,target
1697,9847,gekke,crazy
1698,9843,meegemaakt,experienced
1699,9813,twintig,twenty
1700,9812,emily,emily
1701,9809,klant,customer
1702,9803,kerels,guys
1703,9793,loog,loop
1704,9786,post,post
1705,9786,aangevallen,attacked
1706,9786,oren,ears
1707,9773,emma,emma
1708,9759,springen,to jump
1709,9756,gevolgd,followed
1710,9732,releases,releases
1711,9731,lach,smile
1712,9730,ontmoette,met
1713,9721,zwak,weak
1714,9705,engeland,England
1715,9704,ziekte,disease
1716,9699,sterren,stars
1717,9697,kyle,kyle
1718,9691,trekt,pull
1719,9686,toilet,toilet
1720,9678,steen,stone
1721,9674,logisch,logical
1722,9673,landen,Nations
1723,9673,geloofde,believed
1724,9644,fouten,faults
1725,9637,verwachten,to expect
1726,9613,leo,leo
1727,9586,dankbaar,satisfying
1728,9580,veroorzaakt,causes
1729,9579,duizend,thousand
1730,9577,wow,wow
1731,9574,aangedaan,affected
1732,9572,andy,Andy
1733,9566,jury,jury
1734,9565,verslaan,defeat
1735,9551,vangen,to catch
1736,9545,christus,Christ
1737,9544,maria,maria
1738,9541,testen,to test
1739,9538,grens,border
1740,9534,paniek,panic
1741,9522,nogmaals,once again
1742,9518,telefoontje,phone call
1743,9512,steken,stabbing
1744,9502,jesse,Jesse
1745,9489,pete,Pete
1746,9488,ontsnapt,Escaped
1747,9478,herinnert,recall
1748,9467,paarden,horses
1749,9464,vaders,fathers
1750,9461,theorie,theory
1751,9459,kleur,colour
1752,9457,prins,Prince
1753,9451,vissen,fishing
1754,9445,bron,source
1755,9442,lid,member
1756,9440,drank,drink
1757,9433,vergadering,meeting
1758,9432,gebleven,remained
1759,9432,meerdere,multiple
1760,9431,ondanks,despite
1761,9429,machine,machine
1762,9429,moeders,mothers
1763,9418,signaal,signal
1764,9412,geslapen,slept
1765,9412,lijden,suffering
1766,9407,stappen,steps
1767,9401,carter,carter
1768,9398,eeuwig,eternal
1769,9395,vreselijke,terrible
1770,9386,km,KM
1771,9377,matt,Matt
1772,9368,doodde,killed
1773,9368,dik,fat
1774,9362,verkoop,sale
1775,9346,rechtbank,court of law
1776,9341,harde,tough
1777,9340,genezen,to cure
1778,9310,begrafenis,funeral
1779,9309,veld,field
1780,9300,straf,punishment
1781,9284,uitgenodigd,invited
1782,9281,laag,low
1783,9278,grace,Grace
1784,9275,kies,select
1785,9265,wiens,whose
1786,9263,william,William
1787,9263,schattig,cute
1788,9256,dr.,dr.
1789,9251,schot,shot
1790,9246,vijanden,enemies
1791,9240,neuken,fuck
1792,9227,broers,brothers
1793,9224,jagen,to hunt
1794,9218,tevreden,satisfied
1795,9217,gaven,gifted
1796,9211,taart,pie
1797,9200,domme,stupid
1798,9178,flat,flat
1799,9175,manieren,manners
1800,9163,afmaken,finish up
1801,9158,vriendelijk,friendly
1802,9157,san,san
1803,9154,sterker,stronger
1804,9150,vluchten,to flee
1805,9149,pers,press
1806,9142,project,project
1807,9134,st,st
1808,9132,vertrekt,leaves
1809,9130,belang,interest
1810,9130,frankrijk,France
1811,9119,lukken,lick
1812,9109,geschoten,shot
1813,9099,prinses,princess
1814,9096,zwaard,sword
1815,9094,aandoen,to put on
1816,9089,arthur,arthur
1817,9088,annie,Annie
1818,9084,makkelijker,easier
1819,9074,gedragen,to behave
1820,9073,bende,gang
1821,9072,ernstig,seriously
1822,9062,gezond,healthy
1823,9051,jouwe,yours
1824,9044,vingers,fingers
1825,9042,las,weld
1826,8994,arresteren,to arrest
1827,8993,tuin,garden
1828,8991,ideeën,ideas
1829,8979,korte,short
1830,8970,gelaten,lost
1831,8969,sean,sean
1832,8960,duitse,German
1833,8950,vrijdag,Friday
1834,8950,opstaan,rise
1835,8944,kunst,art
1836,8944,sterke,strong
1837,8934,afscheid,parting
1838,8924,menselijke,human
1839,8920,minister,minister
1840,8919,clark,clard
1841,8916,coach,coach
1842,8915,verboden,forbidden
1843,8887,kelder,cellar
1844,8871,gezelschap,company
1845,8849,bijvoorbeeld,for example
1846,8846,achtergelaten,abandoned
1847,8844,duur,duration
1848,8844,compleet,complete
1849,8838,to,to
1850,8838,eng,spooky
1851,8836,toeval,coincidence
1852,8831,snapt,snap
1853,8829,hiervan,of this
1854,8826,miljoenen,millions
1855,8815,simon,simon
1856,8815,jerry,Jerry
1857,8809,war,war
1858,8804,melk,milk
1859,8804,kelly,kelly
1860,8800,lui,lazy
1861,8798,genieten,to enjoy
1862,8786,aannemen,take
1863,8782,uitstekend,excellent
1864,8781,tegenover,opposite
1865,8780,dichterbij,closer
1866,8779,chicago,chicago
1867,8779,kocht,bought
1868,8772,stuurt,steer
1869,8752,volle,full
1870,8742,schijnt,appears
1871,8727,lenen,to lend
1872,8710,moed,courage
1873,8691,alice,alice
1874,8686,vergissing,mistake
1875,8673,patiënten,patients
1876,8668,toon,tone
1877,8667,normale,normal
1878,8663,broeder,brother
1879,8662,kaarten,Cards
1880,8638,films,films
1881,8635,reizen,to travel
1882,8635,ruim,ample
1883,8632,herinneringen,memories
1884,8621,gedachte,thought
1885,8610,saai,dull
1886,8607,joey,Joey
1887,8605,roken,to smoke
1888,8586,truck,truck
1889,8584,gaaf,great
1890,8571,tegenwoordig,nowadays
1891,8570,kwestie,matter
1892,8563,zette,set
1893,8560,opzij,aside
1894,8560,gaande,going on
1895,8551,omgeving,surroundings
1896,8548,kip,chicken
1897,8545,verstopt,constipated
1898,8542,leerde,learned
1899,8541,vanochtend,this morning
1900,8535,kast,closet
1901,8533,officieel,officially
1902,8527,aanbod,offer
1903,8520,sms,text message
1904,8511,vernietigd,destroyed
1905,8508,verliest,losing
1906,8502,menselijk,human
1907,8494,contract,contract
1908,8489,lady,lady
1909,8485,mooiste,most beautiful
1910,8483,flink,considerable
1911,8483,majesteit,majesty
1912,8480,cia,C.I.A
1913,8479,carl,Carl
1914,8473,sukkel,softy
1915,8467,stopte,stopped
1916,8465,haalde,brought
1917,8464,verdiend,earned
1918,8447,genoegen,pleasure
1919,8439,senator,senator
1920,8438,buren,neighbors
1921,8434,alan,Alan
1922,8430,internet,Internet
1923,8424,vloer,floor
1924,8423,zwemmen,swimming
1925,8421,taylor,taylor
1926,8421,bedoeld,meant
1927,8420,opgesloten,locked up
1928,8411,ontslag,dismissal
1929,8401,bekijk,look at
1930,8399,borst,chest
1931,8397,schreeuwen,shout
1932,8395,bevalt,pleases
1933,8394,hoger,higher
1934,8384,blanke,White person
1935,8376,redenen,reasons
1936,8373,harder,harder
1937,8372,ed,etc.
1938,8364,ontvoerd,abducted
1939,8364,vasthouden,to hold
1940,8356,dave,dave
1941,8355,lucy,Lucy
1942,8345,behandelen,to treat
1943,8342,berg,mountain
1944,8336,noorden,north
1945,8330,opgeven,to report
1946,8319,bepaald,determined
1947,8310,spelletje,game
1948,8302,maatje,Buddy
1949,8296,daardoor,as a result
1950,8288,omstandigheden,circumstances
1951,8281,opgelost,dissolved
1952,8275,heus,real
1953,8275,koken,Cook
1954,8269,vingerafdrukken,fingerprints
1955,8266,trut,trut
1956,8264,eenvoudig,simple
1957,8262,hiervoor,for this
1958,8255,stukken,pieces
1959,8255,tent,tent
1960,8254,pauze,pause
1961,8254,raden,to guess
1962,8252,roepen,call
1963,8239,leugenaar,liar
1964,8238,bek,beak
1965,8233,vervangen,to replace
1966,8233,alarm,alarm
1967,8232,interesse,interest
1968,8232,talent,talent
1969,8230,bereikt,reaches
1970,8218,amerikanen,Americans
1971,8210,kanker,cancer
1972,8210,ted,ted
1973,8202,aangezien,since
1974,8201,beslissen,to decide
1975,8200,des,the
1976,8194,rose,rose
1977,8187,cadeau,gift
1978,8176,mexico,Mexico
1979,8173,kerst,Christmas
1980,8172,louis,Louis
1981,8156,invloed,influence
1982,8155,geheugen,memory
1983,8147,station,station
1984,8142,doorheen,through
1985,8140,vogel,bird
1986,8136,verantwoordelijkheid,responsibility
1987,8135,pillen,pills
1988,8132,rome,Rome
1989,8131,diner,dinner
1990,8129,besluit,conclusion
1991,8124,vlug,quick
1992,8108,deuren,doors
1993,8105,woonde,lived
1994,8101,west,west
1995,8099,huh,huh
1996,8091,verstand,mind
1997,8090,moeilijke,difficult
1998,8087,juffrouw,Miss
1999,8078,bescherming,protection
2000,8065,quality,quality
2001,8058,stilte,Silence
2002,8052,bak,bin
2003,8047,papier,paper
2004,8047,erom,worry
2005,8043,volledige,sufficient
2006,8040,zojuist,just now
2007,8038,kilo,kilo
2008,8037,chuck,chuck
2009,8033,vormen,form
2010,8025,vaarwel,farewell
2011,8020,storm,storm
2012,8018,hoed,hat
2013,8014,leugen,lie
2014,8013,ambulance,ambulance
2015,8003,opgenomen,included
2016,8003,beslist,specifically
2017,7986,pizza,Pizza
2018,7986,verdween,disappear
2019,7985,ontdekken,to discover
2020,7980,eenheid,unit
2021,7979,verzoek,request
2022,7979,overtuigen,convince
2023,7963,militaire,military
2024,7963,kogels,bullets
2025,7951,toegeven,to admit
2026,7944,smith,smith
2027,7942,gedronken,drunk
2028,7935,high,high
2029,7931,quantity,quantity
2030,7924,gekeken,looked
2031,7921,phil,phil
2032,7919,cent,cents
2033,7915,punten,points
2034,7914,reet,ass
2035,7912,garage,garage
2036,7909,vrees,fear
2037,7909,big,Big
2038,7909,kluis,safe
2039,7905,slaapkamer,bedroom
2040,7904,vandoor,vand
2041,7900,wit,white
2042,7888,bezoeken,attend
2043,7887,politiek,politics
2044,7876,mogelijkheid,possibility
2045,7868,vertrok,left
2046,7866,jackson,Jackson
2047,7859,verdomd,damn
2048,7852,vervelend,annoying
2049,7845,vs,USA
2050,7824,rekenen,calculate
2051,7809,klap,blow
2052,7805,aanbieden,offer
2053,7805,abby,Abby
2054,7804,streek,region
2055,7798,zaterdag,Saturday
2056,7797,uwe,yours
2057,7795,zicht,sight
2058,7785,jones,Jones
2059,7782,elf,eleven
2060,7771,gewend,accustomed
2061,7768,reactie,reaction
2062,7763,jazeker,of course
2063,7761,blauw,blue
2064,7758,herken,to recognise
2065,7758,verbonden,connected
2066,7756,reken,county
2067,7749,schoonheid,beauty
2068,7742,ho,ho
2069,7742,hank,Hank
2070,7741,klus,job
2071,7733,verandering,change
2072,7724,vermoordt,kill
2073,7702,accepteren,accept
2074,7700,biertje,beer
2075,7695,roger,roger
2076,7694,helen,heal
2077,7693,gebouwd,built
2078,7691,aankomen,arrive
2079,7687,trok,draft
2080,7680,larry,Larry
2081,7659,verhuizen,to move house
2082,7657,waarde,where the
2083,7655,troep,rubbish
2084,7646,kust,coast
2085,7642,graf,grave
2086,7641,dans,dance
2087,7641,verdediging,defense
2088,7633,bleek,pale
2089,7631,taal,language
2090,7628,grotere,larger
2091,7625,dier,animal
2092,7624,aanklacht,indictment
2093,7619,overheid,government
2094,7609,wed,wet
2095,7604,lossen,unload
2096,7602,huizen,houses
2097,7595,uiteraard,of course
2098,7591,gerust,reassured
2099,7587,manager,manager
2100,7587,verdedigen,to defend
2101,7585,valse,false
2102,7582,lieten,shed
2103,7570,westen,West
2104,7569,amper,barely
2105,7567,bekeken,Viewed
2106,7566,stal,stable
2107,7562,job,Job
2108,7550,maakten,took
2109,7547,niveau,level
2110,7529,binnenkomen,enter
2111,7520,poging,attempt
2112,7518,behandeld,treated
2113,7516,overtuigd,convinced
2114,7515,gewacht,waiting
2115,7513,stroom,current
2116,7508,wetenschap,science
2117,7507,momenteel,currently
2118,7505,wauw,Wow
2119,7504,liedje,song
2120,7500,vals,false
2121,7497,vincent,vincent
2122,7492,onderzocht,examined
2123,7492,duurde,last
2124,7490,lily,Lily
2125,7486,josh,Josh
2126,7485,keel,throat
2127,7484,schepen,ships
2128,7482,gouden,golden
2129,7481,blind,blind
2130,7473,achterlaten,leave behind
2131,7469,gevangene,prisoner
2132,7469,robin,robin
2133,7468,voordeel,benefit
2134,7466,gevangenen,prisoner
2135,7465,eieren,Eggs
2136,7461,verbrand,burnt
2137,7456,geduld,patience
2138,7454,eeuw,century
2139,7453,europa,Europe
2140,7445,gescheiden,divorced
2141,7440,snelheid,speed
2142,7438,aardige,nice
2143,7438,gary,gary
2144,7433,rotzooi,mess
2145,7432,heette,was called
2146,7430,brak,broke
2147,7428,lichamen,bodies
2148,7416,bidden,pray
2149,7412,natuur,nature
2150,7402,maggie,maggie
2151,7401,wijs,show
2152,7400,buik,belly
2153,7396,vinger,finger
2154,7392,king,king
2155,7392,gespeeld,played
2156,7391,feiten,facts
2157,7387,virus,virus
2158,7385,ha,ha
2159,7385,jeff,Jeff
2160,7377,plus,plus
2161,7372,groene,green
2162,7360,bomen,trees
2163,7354,personeel,staff
2164,7353,patrick,patrick
2165,7352,karen,karen
2166,7352,pakt,tack
2167,7351,plekken,places
2168,7350,commissaris,Commissioner
2169,7349,sara,Sara
2170,7345,zuiden,south
2171,7342,rechten,rights
2172,7342,veranderde,changed
2173,7339,stof,dust
2174,7339,badkamer,bathroom
2175,7337,leugens,lies
2176,7337,zondag,Sunday
2177,7336,erheen,there
2178,7315,smaak,taste
2179,7308,aanwezig,present
2180,7306,leraar,teacher
2181,7306,maandag,Monday
2182,7302,verliet,abandoned
2183,7293,leefde,lived
2184,7283,it,IT
2185,7276,pakte,tagged
2186,7272,franse,French
2187,7268,bergen,mountains
2188,7268,duitsers,Germans
2189,7267,woede,fury
2190,7266,studeren,to study
2191,7259,sliep,sleep
2192,7252,kleding,clothing
2193,7245,stonden,stood
2194,7240,troepen,troops
2195,7236,eindigen,end
2196,7234,feite,factory
2197,7230,hemelsnaam,heaven's sake
2198,7229,groeien,grow
2199,7229,dean,dean
2200,7228,piloot,pilot
2201,7226,geesten,ghosts
2202,7223,controleer,check
2203,7222,verslag,report
2204,7213,ex,ex
